Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Low-frequency,Blue whale,Mysticetes,Di lorio and Clark 2010 but see Pinet et al. 2010,"St. Lawrence estuary, Canada",Seismic-Explosion,Seismic,Moving,,30 - 500 Hz,11 days,131,peak or peak-to-peak,Estimated,, 17 (plus five unidentified),,,Foraging,"Blue whales called consistently more on seismic exploration days than on non-exploration days as well as during periods within a seismic survey day when the sparker was operating. This increase was observed for the discrete, audible calls that are emitted during social encounters and feeding. ",4,Moderate,Not-avoidance,Vocalization Rate Increase
Low-frequency,Humpback whale,Mysticetes,Cerchio et al. 2014,Northern Angola,Seismic-Explosion,Seismic,Moving,,5 - 300 Hz & 30 to 450 Hz for sparker sources,449 hour periods during 50 days,156,peak or peak-to-peak,Measured,,,Male,,Socializing ,"The number of singers significantly decreased with increasing received level of seismic survey pulses; this explanatory variable was included among the top ranked models for one MARU in the full dataset and both MARUs in the reduced dataset. This suggests that the breeding display of humpback whales is disrupted by seismic survey activity, and thus merits further attention and study, and potentially conservation action in the case of sensitive breeding populations.",4,Moderate,Not-avoidance,Vocalization cessation
Low-frequency,Humpback whale,Mysticetes,Weir 2008,Angola,Seismic-Explosion,Seismic,Moving,4 - 8 m,10 - 200,Shooting at intervals of 25 meters for aprox 1300 h,,,,,,,,,"Relative abundance was slightly higher during full-array (0.046 animals/h) than guns-off (0.029 h) seismic. In distance bands beyond 3 km from the source, the full-array encounter rates were over twice those of guns off.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,Weir 2008,Angola,Seismic-Explosion,Seismic,Moving,4 - 8 m,10 - 200,Shooting at intervals of 25 meters for aprox 1300 h,,,,,,"Nursery groups of calves, juveniles, and adult females",,,"Sperm whales had similar relative abundance during full-array (0.31 animals/h) and guns-off (0.23 h) seismic. the airgun array during guns off (Figure 3b). Encounter rate was either similar to or higher during full array than guns off in most other distance bands, however, and was markedly higher at 0.5 to 0.9 km and at 5 to 6 km (Figure 3b).  The behaviour of sperm whales rarely changed during encounters, with animals frequently engaged in socialising bouts and feeding dives without obvious reaction as the active source passed.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Atlantic spotted dolphin,Dolphin,Weir 2008,Angola,Seismic-Explosion,Seismic,Moving,4 - 8 m,10 - 200,Shooting at intervals of 25 meters for aprox 1300 h,,,,,,,,,"The Atlantic spotted dolphin encounter rate  was lowest during full-array operations and higher during guns-off and partial-array (0.009/h) seismic. The relative abundance of Atlantic spotted dolphins was double during guns-off than during full-array  seismic. In contrast, Atlantic spotted dolphin encounters during fullarray seismic involved either neutral behaviour or, more commonly, a negative response during which animals visibly detoured around the ship’s track and moved away (usually at high speed with apparent flight reaction).",6,High,Avoidance,Not measured/reported
Low-frequency,Fin whale,Mysticetes,Nieukirk et al. 2012 (which includes info from Nieukirk et al. 2004),Mid-Atlantic Ridge,Seismic-Explosion,Seismic,Moving,,2 - 188 Hz,"Airguns are fired every 10–60 s for days or weeks at a time, with occasional interruptions for such actions as turning the ship that tows the airgun array.",,,,4000 km,North Atlantic fin whale population is thought to exceed 50 000 animals,,,,"Airgun patterns varied from year to year. Thus, in some years (e.g., 2005) there was a great deal of overlap of peak fin whale calling activity and high airgun levels, while in others (e.g., 2001) we recorded lower levels of airgun activity during times when high levels of fin whale 20 Hz pulses were recorded",,,Not measured/reported,Vocalization frequency shift
Low-frequency,Bowhead whale,Mysticetes,Robertson et al. 2013 (chapter 2 of Robertson 2014),Beaufort Sea,Seismic-Explosion,Seismic,Moving ,,,,123,peak or peak-to-peak,Measured,,,,,Traveling,"Seismic activities may not have displaced bowhead whales as previously thought, but altered their dive behaviours instead and made them less visible for counting. As a consequence, previous estimates of numbers of whales exposed to moderate sounds related to seismic operations appear to have been underestimated. ",5,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,"Johnson et al. 2007 (cited as Johnson 2002 in Gordon et al. 2004), Gailey et al. 2007, Yazvenko et al. 2007, Rutenko et al. 2007  ","Sakhalin Island, Russia",Seismic-Explosion,Seismic,Moving,,,,163,rms,Measured,,,,,Foraging,"Gray whales increased their speed, changed directions less, moved further from shore, and stayed under water longer between respirations when estimated received sound energy from the seismic survey increased. Some whales moved away from the survey area some whale did not and the ones that stayed in the area continue feeding. ",6,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Greene et al. 1999,Beaufort Sea,Seismic-Explosion,Seismic,Moving,,,,,,,,,,,Traveling,"At least in 1996, patterns of call detection rates were consistent with aerial survey evidence that most bowheads were displaced from the area near the operating airguns. However, there was no significant tendency for  call detection rates to change consistently at times when airgun operations started or stopped.",6,High,Avoidance,"Vocalization rate decreased, no change "
Various,Various,Various,"Parente 2004, Parente et al. 2004, Parente and Araujo 2005, 2007",Brazil,Seismic-Explosion,Seismic,Moving,,,92 seismic surveys,,,,,,,,,The results suggest a decrease in the diversity of species in relation to the seismic surveys intensification during the years 2000 and 2001.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,Mate et al. 1994,"Gulf of Mexico, US",Seismic-Explosion,Seismic,Moving,,,,,,,,,,,,Sperm whales were found routinely in the area before seismic operations beagn - abundance changed significantly during the following days during the seismic activities. During the first 2 days of the seismic activity whales were only seen around the periphery of the seismic area. ,6,High,Avoidance,Not measured/reported
various,Various,Various,Potter et al. 2007,Northwest Atlantic,Seismic-Explosion,Seismic,Moving,,most of the energy is concentrated around 50 Hz,,,,,,,,,,"Reactions: to stay outside a close approach circle, to be observed in larger groups, and to reduce vocalizations but not to move out of detection range. Marine mammals appeared to have avoided very close ranges ( 100 m) from the seismic array during seismic acquisition, but the overall number of marine mammals in the observable radius (1–2 km) did not change significantly when the seismic source was “on” compared to “off.” Marine mammals were observed in larger groups and appeared to have become less vocal when the seismic source was active.",4,Moderate,Not-avoidance,Vocalization Rate Decrease
various,Various,Various,Moulton and Miller 2005,"Gully Marine Protected Area, Canada",Seismic-Explosion,Seismic,Moving,,,,190,rms,Measured,700 - 10000 m ,,,,,"Monitoring from the seismic ship documented relatively small zones of avoidance around the operations area for baleen whales and toothed whales, and little evidence of avoidance by dolphins.",,,Not-avoidance,Not measured/reported
various,Various,Various,Simard et al. 2005,"Gully Marine Protected Area, Canada",Seismic-Explosion,Seismic,Moving,,,,135,rms,Measured,91 - 31 km,,,,,"Whale vocalizations were present at all stations. They include sperm whale clicks (1-15 kHz, 16/20 stations), northern bottlenose whale clicks (20-30 kHz, 13/20 stations), dolphin whistles (2-30 kHz, 17/20 stations), clicks from other odontocetes (possibly pilot whales, harbor porpoises, dolphins), other less frequent vocalizations and unidentified calls. Northern bottlenose whale clicking intensity matched the published local distribution of the species. These results indicate that the whales did not abandon the Gully area during the short observation period while the 3-D seismic exploration was carried out in the western part of the Marathon survey area, at ranges larger than 30 km.",,,Not-avoidance,Not measured/reported
various,Various,Various,Moulton and Holst 2010,Offshore Nova Scotian and Newfoundland,Seismic-Explosion,Seismic,Moving,,,,,,,,,,,,"During the monitored seismic programs, some cetacean groups and species exhibited localized avoidance as evidenced by reduced sighting rates, increased sighting distances, and movements away from the seismic vessel during periods when airgun(s) were operating. Of the three cetacean groups considered here, mysticetes were consistently seen farther away, at lower rates, and moving away from the seismic vessel during airgun operations. some delphinids appeared to exhibit localized avoidance of the source vessel. Based on initial sighting distances, delphinids were detected 200–300 m farther away from the source vessel during seismic vs. non-seismic periods.For large toothed whales (sperm and beaked whales) sighted during the current study in the northwest Atlantic, sighting rates and sighting distances were similar during periods when airguns were active vs. silent. Also, there was no tendency for large toothed whales to swim away from the seismic vessel during airgun operations.",6,High,Avoidance,Not measured/reported
Low-frequency,Fin and Humpback whale,Mysticetes,Clark and Gagnon 2006,,Seismic-Explosion,Seismic,Moving,,,,,,,,,,,,"Within an hour or less after the start of seismic operations, singing humpback and fin whales will stop singing, evidence suggest that many of these individuals stay in the area and that they resume singing when the seismic survey stops (Clark and Gagnon 2006). This change in the acoustic behaviour can last several days or weeks and cover areas on the order of 10-20,000 nmi2 . ",5,Moderate,Not-avoidance,Vocalization cessation
Low-frequency,Bowhead whale,Mysticetes,Richardson and Williams 2004 cited in Clark and Gagnon 2006,Beaufort Sea,Seismic-Explosion,Seismic,Moving,,,,,,,,,,,Traveling,In this context bowheads showed relatively strong avoidance out to 10 miles from the operational survey vessel.,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,"Miller et al. 2000, Biassoni et al. 2000","Hawaii, US",LFAS,Low Frequency Sonar,Moving (approaching),60 - 180 m ,130 - 160 Hz (low component) and 260 - 320 Hz (high component),Ten (in one case four) 42-s LFA signals at 6-min intervals,150,rms,Estimated,< 4 km ,6,Male,,Socializing ,"The singing behaviour of male humpback whales was altered when they were exposed to LFA (low-frequency active) sonar. As the song of these whales is associated with reproduction, widespread alteration of their singing behaviour might affect demographic parameters, or it could represent a strategy to compensate for interference from the sonar.",5,Moderate,Not-avoidance,Vocalization duration increase
Mid-frequency,Various,Dolphin,Ranking and Evans 1998,"Gulf of Mexico, US",Seismic-Explosion,Seismic,Moving,,,,,,,,,,,,"The repetitive signals generated by seismic exploration may not have a negative impact on the distribution of odontocetes in the Gulf of Mexico. This study does not, however, present any information regarding smaller scale behavioral impacts. In addition to simultaneous cetacean observations with seismic exploration, acoustical monitoring indicated presence of cetacean vocalizations (including Stenella coeruleoalba, S. attenuata, S. Iongirostris, Physeter macrocephalus, and Steno bredanensis).",0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Jochens and Biggs 2003, Jochens et al. 2008","Gulf of Mexico, US",Seismic-Explosion,Seismic,Moving,,,,164,peak or peak-to-peak,Measured,1.4 - 12.6 km,8,,,Foraging,"Sperm whales increased rate of vocalizations during sound exposure. The direction of movement did not change for any of the eight exposed whales at either the onset of gradual ramp-up at ranges of 7.3-12.5 km or during full power exposures at ranges of 1.4-12.6 km. The CEE results, together with results from two other independent approaches, do not indicate any horizontal avoidance of sperm whales in the Gulf to seismic survey activities.These analyses indicated that the odds favor that, during full-array exposure, there was a decrease in foraging activity of approximately 20% rather than that there was no change in foraging activity.",4,Moderate,Not-avoidance,Vocalization Rate Increase
Low-frequency,Right whale,Mysticetes,Parks et al. 2007,"Bay of Fundy, Canada",Continuous,Vessel ,Moving,,,,,,,,,,,Socializing ,The observed changes include an increase in minimum frequency and a decrease in call rate under high noise conditions. Minimum frequency was significantly lower in lower noise. Call duration was significantly shorter in midlevel noise than in high noise situations but duration was not significantly different between low and high noise recordings. Intercall intervals were significantly shorter in lower noise. North Atlantic right whales call at a higher start frequency than southern right whale. Start frequency has increased over time for both species. There was a greater change in frequency through time in the North Atlantic right whale and a greater difference in frequency between the two species from recent recordings than historic recordings,5,Moderate,Not-avoidance,"Vocalization Frequency Shift, Vocalization Rate Decrease"
Low-frequency,Right whale,Mysticetes,Parks et al. 2009,"Bay of Fundy, Canada; Cape Cod Bay and coast of Georgia, US",Continuous,Vessel ,Moving,,,,125,,Measured,,,,,,"There were only subtle differences in the distribution of upcall features among habitats, with shorter duration and higher average minimum frequencies of upcalls in the BOF than in the other two habitats, though it remains unclear whether these differences are a result of noise levels, habitat propagation characteristics, or variation in the particular individuals calling in the habitat.",,,,
Low-frequency,Right whale,Mysticetes,"Parks et al. 2011, 2012","Bay of Fundy, Canada",Continuous,Vessel ,Moving,,20 Hz – 8 kHz,,143,rms,Measured,,14,Male and Female,8 to 23,,"These results provide, to our knowledge, the first evidence for noise-dependent amplitude modification of calls produced by a baleen whale. The impacts of increased noise on communication depend on whether receivers are able to detect and respond to relevant signals above the local noise level. Right whales increased their call amplitude linearly as background noise levels rose, indicating that the whales were able to mainta in the signal-to-noise ratio of their signals in the moderate
noise levels measured in this study.",5,Moderate,Not-avoidance,Vocalization Intensity Increase
Mid-frequency,Sperm whale,Sperm whale,Madsen and Mohl 2000,Norway,Seismic-Explosion,Explosion,Stationary,,,,179,rms,Measured,Individual,5,Male,,,Click rates of the submerged whales and the behavior of the surfaced specimen did not change during the discharges. Male sperm whales do not interrupt nor change their click production or alter their behavior in any detectable way in response to a broadband pressure wave from a detonating blasting cap.,0,Low,Not-avoidance,No change
Mid-frequency,Sperm whale,Sperm whale,Madsen et al. 2002,Norway,Seismic-Explosion,Seismic,Moving ,7 m,centre frequency of 50–100 Hz,10 s,146,peak or peak-to-peak,Measured,> 10 km,,Male,,Foraging,The exposure to the seismic survey pulses did not elicit observable avoidance and the whales stayed in the area for at least 13 days of exposure. Nor did the whales fall silent or change their normal vocal patterns during feeding dives.,0,Low,Not-avoidance,No change
Mid-frequency,Sperm whale,Sperm whale,André et al. 1997,,Artificial sounds,Artificial sounds,Stationary,,,,,,,,,,,,"In Madsen et al. 2002: Andre et al. 1997 have investigated sperm whale reactions to a number of artificial sounds with SL of 180 dB re 1 mPa: Artificial codas caused the same reactions, as reported by  Atkins and Schevill (1975), and 10-kHz pulses induced startle reactions among surfaced specimens, whereas observations on the acoustical responses to other artificial sounds with similar SLs were lacking or inconclusive.",4,Moderate,,
Mid-frequency,Sperm whale,Sperm whale,"Miller et al. 2009, Madsen et al. 2006a","Gulf of Mexico, US",Seismic-Explosion,Seismic,Moving,,3 - 800 Hz,fired every 15 sec and began with a 30 min ramp up from 1 to 28 guns,147,rms,Measured,1 - 13 km,8,,,Foraging,"Sperm whales did not show horizontal avoidance of the airguns. Oscillations in pitch generated by swimming movements during foraging dives were on average 6% lower during exposure than during the immediately following post-exposure period, with all 7 foraging whales exhibiting less pitching (all eight tested whales seem to have had lower expenditure of energy on locomotion when airguns were firing). Buzz rates, a proxy for attempts to capture prey, were 19% lower during exposure. Our results provide preliminary evidence that air gun operations might affect the foraging behavior of sperm whales negatively, possibly reducing their foraging rate even at the moderate received levels and larger anges between whale and sound source used here. Behavioral changes may include, at one extreme, delay of diving to avoid high intensity exposure when horizontally  close to an airgun array, and, at lower levels, disruption of thewhales foraging, perhaps linked with behavioral reactions of prey.",4,Moderate,Not-avoidance,Vocalization duration decrease
Various,Various,Various,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"All small odontocetes tested, killer whales and all mysticetes combined remained significantly further from the source during periods of shooting on surveys with large volume airgun arrays. The proportion of sightings of small odontocetes within a given range of large volume airgun arrays was significantly reduced during periods of shooting while for other cetaceans no significant differences were found. The orientation of some species or species groups (all cetaceans combined, all mysticetes combined, all small odontocetes combined, long-finned pilot whale, Lagenorhynchus spp., white-beaked dolphin and harbour porpoise (Phocoena phocoena)) varied significantly with airgun activity (Table 4); partitioning showed that significantly fewer animals were travelling towards the vessel and/or more were travelling away from the vessel during periods of shooting. Orientation during site surveys differed with airgun activity for all species or species groups tested (Table 5), with significantly fewer animals travelling towards the vessel and/or more travelling away from the vessel during periods of shooting. Although precise data on other aspects of behaviour were not collected, observers’ records suggested that fewercetaceans were feeding, fewer were interacting with the vessel or its equipment (e.g. bow-riding) and more were altering course when airguns were active. Observers also gained the impression that small odontocetes tended to swim faster when airguns were active and some mysticetes remained submerged more when airguns were silent.",6,High,Avoidance,Not measured/reported
Low-frequency,Mysticetes,Mysticetes,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,There was not a statistical significant difference in sighting rates of marine mammals in relation to seismic activity: sightings were NOT significantly reduced during periods of shooting. statistically significant (p=0.006) increase in closest approach distance for 148 baleenwhalesfrom a median of 1km while the guns were not shooting compared to 1.6 km while they were shooting.,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"Humpback whales were seen only occasionally during seismic surveys, but no effect of seismic activity on their occurrence was found.   ",6,High,Avoidance,Not measured/reported
Low-frequency,Fin whale,Mysticetes,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"Fin whales and minke whales were the species of baleen whale most often observed, but no effects on the occurrence or behaviour of these individual species were found. ",0,Low,Not-avoidance,Not measured/reported
Low-frequency,Minke whale,Mysticetes,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"Fin whales and minke whales were the species of baleen whale most often observed, but no effects on the occurrence or behaviour of these individual species were found. Minke whales remain further from the source when it was active, which may indicate some level of localised avoidance. ",6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"The median distance for 51 sperm whales was 2km when the guns were not shooting, compared to 1.2km when they were shooting.",6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"Pilot whales also showed little effect of seismic activity. The only observed effect was on their orientation, with more heading away from and fewer towards the vessel during periods of shooting. However, any avoidance appeared to be relatively minor as there was no difference in their closest distance of approach to the airguns in relation to seismic activity. It is not known whether the decline in sighting rates of pilot whales over the three-year period was related to continued seismicactivity or to some other factor, e.g. a shift in prey distribution.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,"Killer whales were found to remain further from the source when it was active, which may indicate some level of localised avoidance. ",6,High,Avoidance,Not measured/reported
Mid-frequency,Dolphins ,Dolphin,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,Remained further from the airguns during periods of shooting. There was not a statistical significant difference in sighting rates of marine mammals in relation to seismic activity: sightings were NOT significantly reduced during periods of shooting,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,"Stone 2003, Stone and Tasker 2006 ",UK,Seismic-Explosion,Seismic,Moving,,3 - 218 Hz,"39,168hr 06min was spent watching for cetaceans during these 110 surveys with large volumes of airguns, with the airguns being active for 38% of  this time",,,,,,,,,Remained further from the airguns during periods of shooting. ,6,High,Avoidance,Not measured/reported
Mid-frequency,Pantropical spotted dolphin,Dolphin,Gray and Van Waerebeek 2011,Liberia,Seismic-Explosion,Seismic,Moving,,,,,,,600 m,1,,Adult,,"The initial sighting cue at 13:31 h consisted of dolphin HG-037 moving erratically at the surface, approximately 600 m ahead of the airgun array. Both initial posture and locomotion differed from any dolphin behaviour known to the authors. This individual slowly moved forward, non-directionally, while lifting its anterior body in an oblique, strikingly rigid, head-up position, in stark contrast with the normal ondulatory movements of delphinids. As evidenced by turbulent white-water in its wake, the dolphin produced a major propulsory thrust while attempting, initially successfully, to keep head and cervical region above the water surface (Fig. 3). This behaviour lasted for ca. 5 min when the dolphin increasingly struggled to maintain posture to keep head and cervical region above the surface (Fig. 3). Eventually it slid into a catatonic-like state of akinesia and postural instability as it, apparently passively, rolled over onto one side, then onto its back, exposing ventrum and tail. The dolphin was last seen sinking with minimal movements, some 300 m ahead of the airgun array, and merely 200 m from the observer (closest distance). As the vessel continued its course, the animal would have found itself within an estimated 100 m radius from the nearest airgun if it did not move from where it was last sighted.",9,Very high,Avoidance,Not measured/reported
Mid-frequency,Common dolphin,Dolphin,"Goold 1996, Goold and Fish 1998",Southern Irish Sea,Seismic-Explosion,Seismic,Moving,,200 Hz - 22  kHz,"Survey line typically lasted some 2–3 h, with air-gun
shots approximately every 10 s; the seismic survey lasted the entire month of March",140,Not explicit,Measured,750 m (source was heard up to 8 km from the source),,,,,"Acoustic observations of common dolphins during preceding seismic surveys suggest that these animals avoided the immediate vicinity of the air-gun array while firing was in progress, i.e., localized disturbance occurred during seismic surveying. Common dolphins were able to tolerate the seismic pulses at 1-km range from the air-gun array.  Greater number of vocalizations per hour before than during seismic surveys.",6,High,Avoidance,Vocalization duration decrease
High-frequency,Harbour porpoise,Porpoise,"Thompson et al. 2013, Pirotta et al. 2014","North Sea, Scotland",Seismic-Explosion,Seismic,Moving,,,10 day - shooting every 5 - 6 secs shot to survey a 200 km2 area,172,peak or peak-to-peak,Measured,5 - 10 km,,,,Foraging,"Acoustic and visual data provided evidence of group responses to airgun noise fromthe 470 cu inch array over ranges of 5–10 km. However, animals were typically detected again at affected sites within a few hours, and the level of response declined through the 10 day survey. Overall, acoustic detections decreased significantly during the survey period in the impact area compared with a control area, but this effect was small in relation to natural variation. These results demonstrate that prolonged seismic survey noise did not lead to broader-scale displacement into suboptimal or higher-risk habitats, and suggest that impact assessments should focus on sublethal effects resulting from changes in foraging performance of animals within affected sites. seismic survey influenced
the activity patterns of porpoises remaining in the area. We showed that the probability of recording a buzz declined by 15% in the ensonified area and was positively related to distance from the source vessel. We also estimated received levels at the hydrophones and characterized the noise response curve. Our results demonstrate how environmental impact assessments can be developed to assess more subtle effects of noise disturbance on activity patterns and foraging efficiency.",6,High,Avoidance,Vocalization rate decrease
Mid-frequency,Pacific humpback dolphin,Dolphin,Van Parijs and Corkeron 2001,Australia,Continuous,Vessel ,Moving,,,,,,,1.5 km,,Male and Female,Included mothers-clafs,,Dolphins significantly increased their rate of whistling immediately after a boat moved through the area. This increase occurred only when boats were less than 1.5 km from the groups. Groups including mother - calf pairs showed an increase in whistles response to boat`s passage. Groups with no calves produced significantly fewer whistles. Mother-calf pairs might be more disturbed and exhbiti an increased need to re-establish vocal contact.,6,High,Avoidance,"Vocalization Rate Decrease, Vocalization Rate Increase"
Mid-frequency,Bottlenose dolphin,Dolphin,Nowacek et al. 2001,"Sarasota, US",Continuous,Vessel ,Moving,,,,,,,,,,,,"Dolphins had longer interbreath intervals during boat approaches compared to control periods. Dolphins decreased interanimal distance, chnaged heading, and increased swimming speed significantly more often in response to an approaching vessel than during control periods. ",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Lemon et al. 2006,Australia,Continuous,Vessel ,Moving (approaching),,,,,,,>30 m,,,,,Dolphins tended to alter their surface behaviour when exposed to the powerboat approach. Analysis also revealed a change in the direction of travel by dolphin groups when approached. Changes in surface behaviour occurred at vessel approach distances outside the minimum approach distance of 30 m for recreational and commercial vessels. There were no changes in dolphin whistle rates or the duration of echolocation click bouts when approached. These findings indicate that powerboats do affect the surface behaviour and direction of travelling inshore bottlenose dolphins in Jervis Bay; however it appears that this impact is not reflected in their acoustic behaviour.,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Lusseau et al. 2009,"San Juan Island, US",Continuous,Vessel ,Moving,,,,,,,100 - 1000 m,,,,Foraging,"Whales were significantly less likely to be foraging and significantly more likely to be traveling when boats were around. Whales are displaced short distances by the presence of vessels. Thus, whales may be displaced from optimal foraging routes.",6,High,Avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Luis et al. 2014,"Sado Estuary, Portugal",Continuous,Vessel ,Moving,,,,,,,,,,,,"Mean overall call rates decreased significantly in the presence of operating vessels. Creaks (fast click trains) were significantly reduced in the presence of ferry boats. Significant differences were also observed in the whistles’ minimum, maximum, and start frequencies.",4,Moderate,Not-avoidance,"Decrased vocalization rate, shift frequencies of vocalizations "
Pinnipeds,"Ringed, bearded, and spotted seal",Pinnipeds (in water),Harris et al. 2001,"Prudhoe Bay, Alaska",Seismic-Explosion,Seismic,Moving,,10 - 4000 kHz,15 - 18 sec (typical interval between shots),200,rms,Measured,44 - 4900,Several,,,,"No dramatic behavioural reactions documented. A fraction of individuals swam away, avoidance seemed localized, more seals seen swimming away while guns firing. Vessel-based observers saw seals at similar rates in the presence of active and non-active airguns. Partial avoidance was documented at  <150m. ",6,High,Avoidance,Not measured/reported
Pinnipeds,Ringed seal,Pinnipeds (in water),Blackwell et al. 2004,"Prudhoe Bay, Alaska",Pile driving,Pile driving,Stationary,,below 10 Hz,NA (0.11 - 60 s)  ,146,rms,Measured,63 - 3000 m,6,,,,No negative reactions to pipedriving; one juvenile swam directly offshore of the 51-cm pipe-driving operation and conducted several approaches to investigate crews working near the water’s edge.There were some reactons but likely due to the presence of a helicopter in the area. ,1,Low,Not-avoidance,Not measured/reported
Low-frequency,Southern right whale,Mysticetes,Clark and Clark 1980,Argentina,Artificial sounds,Artificial sounds,Stationary,,,,,,,,,,,,Whales swam away and did not make any more sounds. When a whale was exposed to a series of trials on the same day its responses decreased with increasing exposure to the playback sounds.,6,High,Avoidance,Vocalization cessation
Low-frequency,Humpback whale,Mysticetes,Fristrup et al. 2003,"Hawaii, US",LFAS,Low Frequency Sonar,Stationary,,150 - 320 Hz,"Series of ten, on intervals of 6 min, for a total of 54 min in a ping series. Ping series were separated by at least 2 to 3 hours. Up to three ping series were produced each day.",155,rms,Measured,,378 songs,,,,"Songs that ended within a few minutes of the most recent ping tended to be longer than songs sung during control periods. Many songs that were overlapped by pings, and songs that ended several minutes after the most recent ping, did not differ from songs sung in control periods. The longest songs were sung between 1 and 2 h after the last ping. Humpbacks responded to louder broadcasts with longer songs. ",5,Moderate,Not-avoidance,Vocalization duration increase
High-frequency,Harbour porpoise,Porpoise,Gonener and Bilgin 2009,"Black Sea, Turkey",Acoustic alarm,Acoustic alarm,Stationary,,fundamental frequency of 10–12 kHz and with significant harmonics up to 100 kHz,Tonal signal of 300 m/sec duration every 4 sec,,,,,,,,,Total number of harbour porpoises caught during active sets (2) was less than when the pingers were inactive (92) - thus pingers are efficient at reducing harbour porpoises catch.,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Mobley et al. 1988,"Hawaii, US",Artificial sounds,Artificial sounds,Stationary,,10 Hz - 1.4 kHz,20 min,,,,within 3 km,,,,,2 out of 48 pods approached the vessel during playback. 4.1% responded to playback of synthetic sound.,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Noren et al. 2009,"San Juan Islands, US, and Gulf Islands, Canada",Continuous,Vessel ,Moving (approaching),,,,,,,200 - 230 m,,Male and Female,,,"Tail slaps were the most frequently performed behaviour. Furthermore, a significantly greater proportion of surface behaviours occurred when vessels closely approached whales. These results suggest that close approaches by vessels elicit behavioral responses in southern resident killer whales and that the  inimum approach distance of 100 m in whale-watching guidelines may be insufficient in preventing behavioral responses from whales.",5,Moderate,Not-avoidance,Not measured/reported
